alias,os,level,group
client14dsy,windows,other,other
client14xdsy,windows,other,other
cmibuild1dsy,windows,other,other
dell1843dsy,windows,R424,replay
dell1883dsy,windows,other,other
dell1963dsy,windows,other,other
dell3353dsy,windows,R422,replay
dell3354dsy,windows,R422,replay
dell3355dsy,windows,R422,replay
dell3356dsy,windows,R422,replay
dell3357dsy,windows,R422,replay
dell3358dsy,windows,R422,replay
dell3359dsy,windows,R422,replay
dell3360dsy,windows,R422,replay
dell3361dsy,windows,R422,replay
dell3364dsy,windows,R422,replay
dell3365dsy,windows,R422,replay
dell3366dsy,windows,R422,replay
dell3367dsy,windows,R422,replay
dell3368dsy,windows,R422,replay
dell3369dsy,windows,R422,replay
dell3370dsy,windows,other,other
eno24adsy,windows,other,other
eno24bdsy,windows,other,other
eno24cdsy,windows,other,other
eno24dsy,windows,other,other
enojarnacdsy,windows,other,other
enoprj2016dsy,windows,other,other
enowinb001dsy,windows,R423,preint_build
enowinb002dsy,windows,R423,prj_build
enowinb003dsy,windows,other,other
enowinb004dsy,windows,other,other
enowip01dsy,windows,other,other
enowip02dsy,windows,other,other
enowip03dsy,windows,other,other
enowip04dsy,windows,other,other
enowip05dsy,windows,other,other
enowip06dsy,windows,other,other
enowip07dsy,windows,other,other
enowip08dsy,windows,other,other
enowip09dsy,windows,other,other
enowip10dsy,windows,other,other
enowip11dsy,windows,other,other
enowip12dsy,windows,other,other
enowip13dsy,windows,other,other
enowip14dsy,windows,other,other
enowip15dsy,windows,other,other
infra14xdsy,windows,other,other
infra15dsy,windows,other,other
lagon3dsy,linux,other,other
lin002dsy,linux,other,other
lin010dsy,linux,other,other
lin011dsy,linux,other,other
lin012dsy,linux,R424,preint_build
lin020dsy,linux,other,other
lin023dsy,linux,other,other
lin024dsy,linux,other,other
lin025dsy,linux,other,other
lin027dsy,linux,other,other
lin034dsy,linux,other,other
linb003dsy,linux,other,other
linb009dsy,linux,other,other
linb011dsy,linux,other,other
linb026dsy,linux,other,other
linb030dsy,linux,other,other
linb031dsy,linux,other,other
pool01dsy,linux,other,other
pool03dsy,linux,other,other
pool08dsy,windows,other,other
pool09dsy,windows,other,other
pool10dsy,windows,other,other
pool11dsy,windows,other,other
pool12dsy,windows,other,other
pool13dsy,windows,other,other
pool14dsy,windows,other,other
pool15dsy,windows,other,other
pool23dsy,windows,other,other
